post_id,user_id,content,timestamp,likes,comments
instagram_sundarpichai_post_1,instagram_sundarpichai,Excited to announce our latest AI advancements at Google I/O today!,2023-05-10 10:00:00,250000,15000
instagram_sundarpichai_post_2,instagram_sundarpichai,Celebrating Diwali with my family. Wishing everyone a prosperous year ahead.,2022-10-24 18:30:00,180000,8500
instagram_sundarpichai_post_3,instagram_sundarpichai,Proud of our team's work on Google's sustainability initiatives. We're committed to operating on carbon-free energy by 2030.,2023-04-22 09:15:00,195000,7200
instagram_timcook_post_1,instagram_timcook,Today at Apple Park we unveiled the new iPhone 15. It's our most advanced iPhone yet.,2023-09-12 13:00:00,420000,32000
instagram_timcook_post_2,instagram_timcook,Happy Earth Day! At Apple we're committed to protecting the planet for future generations.,2023-04-22 08:00:00,310000,12500
instagram_timcook_post_3,instagram_timcook,Visited our new store in Mumbai. Incredible energy from our customers and team members in India!,2023-04-18 15:45:00,350000,18000
instagram_zuck_post_1,instagram_zuck,Introducing Meta AI - our most advanced assistant powered by our new Llama 3 model.,2024-04-18 11:30:00,850000,65000
instagram_zuck_post_2,instagram_zuck,Training for my next MMA fight. Pushing my limits every day.,2023-10-05 07:15:00,1200000,95000
instagram_zuck_post_3,instagram_zuck,Excited about the future of the metaverse. Here's a sneak peek at what we're building.,2023-06-12 14:20:00,780000,42000
instagram_snarayen_post_1,instagram_snarayen,Adobe MAX is back! Join us for three days of creativity and innovation.,2023-10-10 09:00:00,85000,3200
instagram_snarayen_post_2,instagram_snarayen,Proud to announce Adobe's new AI features in Creative Cloud. Empowering creators everywhere.,2023-09-15 10:30:00,92000,4100
instagram_susanwojcicki_post_1,instagram_susanwojcicki,Reflecting on my 25 years at Google and 9 years as YouTube CEO. Excited for my next chapter.,2023-02-16 16:45:00,125000,8700
instagram_susanwojcicki_post_2,instagram_susanwojcicki,Supporting women in tech has always been a passion of mine. Inspired by these young coders at our workshop today.,2022-10-11 13:20:00,98000,5400
instagram_paraga_post_1,instagram_paraga,Thank you to the incredible team at Twitter for an amazing journey.,2022-11-20 19:10:00,210000,18500
instagram_paraga_post_2,instagram_paraga,Innovation comes from embracing diverse perspectives. Proud of our engineering culture.,2022-08-05 11:25:00,175000,9200
instagram_reed2001_post_1,instagram_reed2001,Just finished my new book about Netflix's culture. Hope you enjoy the read!,2023-05-20 15:30:00,165000,7800
instagram_reed2001_post_2,instagram_reed2001,Streaming has transformed entertainment. Excited to see what the next decade brings.,2023-03-10 12:45:00,142000,6500
instagram_elonmusk_post_1,instagram_elonmusk,Starship test flight today! To the stars 🚀,2023-04-20 08:00:00,2500000,180000
instagram_elonmusk_post_2,instagram_elonmusk,Cybertruck deliveries begin next month. The future is now.,2023-11-15 14:30:00,3100000,225000
instagram_elonrmuskofficial_post_1,instagram_elonrmuskofficial,Mars here we come! SpaceX is making interplanetary travel a reality.,2023-10-01 09:15:00,1800000,145000
instagram_elonrmuskofficial_post_2,instagram_elonrmuskofficial,Tesla's mission is to accelerate the world's transition to sustainable energy.,2023-08-12 11:20:00,1650000,98000
instagram_nvidia_post_1,instagram_nvidia,NVIDIA GTC 2023: Announcing our next-generation AI chips and platforms.,2023-03-21 10:00:00,320000,15000
instagram_nvidia_post_2,instagram_nvidia,Gaming just got better with our new GeForce RTX 4090. Unparalleled performance for gamers and creators.,2022-10-12 13:45:00,285000,18500
instagram_nvidia_post_3,instagram_nvidia,AI is transforming industries. See how NVIDIA is powering the AI revolution.,2023-06-05 09:30:00,310000,12800
