post_id,user_id,content,timestamp,likes,comments
linkedin_sundarpichai_post_1,linkedin_sundarpichai,Today at Google I/O we shared our latest AI advancements and how we're making them helpful for everyone. Excited about the future of AI and its potential to solve important challenges.,2023-05-10 11:30:00,185000,12000
linkedin_sundarpichai_post_2,linkedin_sundarpichai,Proud to announce that Google has achieved 100% carbon-neutral operations for the fourth year in a row. Our goal remains to operate on carbon-free energy 24/7 by 2030.,2023-04-22 10:00:00,142000,8500
linkedin_sundarpichai_post_3,linkedin_sundarpichai,Congratulations to our Google DeepMind team on the breakthrough achievements with AlphaFold. This technology has the potential to revolutionize how we discover new medicines and understand diseases.,2023-07-15 09:15:00,165000,9200
linkedin_timcook_post_1,linkedin_timcook,Today we introduced iPhone 15 with groundbreaking features that will empower users to create and connect in new ways. Innovation is in Apple's DNA and we're excited to continue pushing boundaries.,2023-09-12 14:30:00,210000,18500
linkedin_timcook_post_2,linkedin_timcook,Apple is committed to protecting our planet. On Earth Day and every day we're working toward our goal of becoming 100% carbon neutral across our entire business by 2030.,2023-04-22 08:30:00,175000,9800
linkedin_timcook_post_3,linkedin_timcook,Thrilled to open our first Apple Store in Mumbai. India is an incredibly dynamic market and we're proud to bring the best of Apple to our customers there.,2023-04-18 16:30:00,195000,14500
linkedin_markzuckerberg_post_1,linkedin_markzuckerberg,Today we're introducing Meta AI - our most advanced assistant built on our new Llama 3 model. It's available on Facebook Instagram WhatsApp and now on the web too.,2024-04-18 12:00:00,320000,28000
linkedin_markzuckerberg_post_2,linkedin_markzuckerberg,The metaverse is the next frontier. We're building technologies that will connect people in entirely new ways and create new opportunities for creators and businesses.,2023-06-12 15:00:00,280000,22000
linkedin_markzuckerberg_post_3,linkedin_markzuckerberg,Excited to share that Meta has been recognized as one of the best places to work in tech. Our success is built on our incredible team and their commitment to our mission.,2023-02-10 11:45:00,245000,15000
linkedin_shantanunarayen_post_1,linkedin_shantanunarayen,Adobe MAX is back and better than ever! Join us for three days of creativity inspiration and learning with the world's top creators and innovators.,2023-10-10 09:30:00,65000,4200
linkedin_shantanunarayen_post_2,linkedin_shantanunarayen,Today we announced Adobe's new AI features in Creative Cloud that will empower creators to work faster and more efficiently while maintaining creative control. The future of creativity is here.,2023-09-15 11:00:00,72000,5100
linkedin_susanwojcicki_post_1,linkedin_susanwojcicki,After nearly 25 years at Google and 9 years as YouTube CEO I've decided to step back and focus on my family health and personal projects. It's been an honor to lead such an incredible platform.,2023-02-16 17:30:00,115000,9500
linkedin_susanwojcicki_post_2,linkedin_susanwojcicki,Supporting women in tech has been a lifelong passion. Today I had the privilege of speaking with young women coders about building careers in technology. Their enthusiasm gives me hope for the future.,2022-10-11 14:00:00,85000,6200
linkedin_paragagrawal_post_1,linkedin_paragagrawal,As my time at Twitter comes to a close I want to express my gratitude to the incredible team I've had the privilege to work with. I'm proud of what we accomplished together.,2022-11-20 20:00:00,180000,15000
linkedin_paragagrawal_post_2,linkedin_paragagrawal,Innovation thrives when diverse perspectives come together. I'm proud of the engineering culture we've built focused on collaboration technical excellence and solving complex problems.,2022-08-05 12:00:00,145000,8500
linkedin_reedhastings_post_1,linkedin_reedhastings,Excited to announce the publication of my new book about Netflix's unique culture and how it's driven our success. Hope it provides valuable insights for leaders and organizations.,2023-05-20 16:00:00,95000,7200
linkedin_reedhastings_post_2,linkedin_reedhastings,The streaming revolution has transformed how people consume entertainment. As I reflect on Netflix's journey I'm amazed at how far we've come and excited about the future of storytelling.,2023-03-10 13:30:00,88000,6100
linkedin_elonmusk_post_1,linkedin_elonmusk,SpaceX successfully launched Starship today - a major milestone on our journey to Mars. Congratulations to the incredible SpaceX team for their dedication and innovation.,2023-04-20 09:00:00,450000,35000
linkedin_elonmusk_post_2,linkedin_elonmusk,Tesla Cybertruck deliveries begin next month. This revolutionary vehicle will change the future of transportation with unmatched performance durability and functionality.,2023-11-15 15:15:00,520000,42000
linkedin_nvidia_post_1,linkedin_nvidia,At NVIDIA GTC 2023 we unveiled our next-generation AI chips and platforms designed to accelerate the AI revolution across industries. Join us in building the future of computing.,2023-03-21 10:30:00,180000,12000
linkedin_nvidia_post_2,linkedin_nvidia,Introducing the GeForce RTX 4090 - our most powerful gaming GPU ever. Designed for gamers creators and AI researchers who demand uncompromising performance.,2022-10-12 14:30:00,165000,14500
linkedin_nvidia_post_3,linkedin_nvidia,AI is transforming every industry from healthcare to manufacturing to transportation. NVIDIA is proud to provide the computing platform powering this revolution.,2023-06-05 10:00:00,175000,11000
