post_id,user_id,content,hashtags,timestamp,likes,comments,shares
instagram_ig_0001_post_001,ig_0001,Weekend project: Building something cool with Python 🔥,#technology #seattle,2025-05-25 03:15:21.906764,919,124,0
instagram_ig_0001_post_002,ig_0001,Tech meetup in Seattle was amazing! 🚀 #networking #innovation,#technology #seattle,2024-07-24 03:08:04.979260,696,35,0
instagram_ig_0001_post_003,ig_0001,Tech meetup in Seattle was amazing! 🚀 #networking #innovation,#technology #seattle,2024-06-10 02:32:13.035453,1016,90,0
instagram_ig_0001_post_004,ig_0001,Weekend project: Building something cool with React 🔥,#technology #seattle,2025-04-08 17:28:42.252814,1073,159,0
instagram_ig_0001_post_005,ig_0001,New gadget unboxing! 📱 Love staying updated with the latest tech #technology,#technology #seattle,2025-03-23 18:06:01.418433,1165,155,0
instagram_ig_0001_post_006,ig_0001,Coffee + code = perfect morning ☕💻 #developer #techlife,#technology #seattle,2025-06-03 08:52:51.617232,1125,123,0
instagram_ig_0001_post_007,ig_0001,New gadget unboxing! 📱 Love staying updated with the latest tech #technology,#technology #seattle,2024-08-25 16:24:01.765646,1028,67,0
instagram_ig_0001_post_008,ig_0001,Coding session vibes ✨ Working on something exciting! #tech #coding,#technology #seattle,2024-08-04 05:41:13.606401,1203,171,0
instagram_ig_0001_post_009,ig_0001,Coding session vibes ✨ Working on something exciting! #tech #coding,#technology #seattle,2025-03-18 05:20:15.598989,943,89,0
instagram_ig_0001_post_010,ig_0001,Tech meetup in Seattle was amazing! 🚀 #networking #innovation,#technology #seattle,2024-11-13 16:33:24.035929,1121,94,0
instagram_ig_0001_post_011,ig_0001,Coffee + code = perfect morning ☕💻 #developer #techlife,#technology #seattle,2025-01-23 03:39:16.265055,932,85,0
instagram_ig_0001_post_012,ig_0001,Weekend project: Building something cool with AI 🔥,#technology #seattle,2025-03-20 06:39:07.554442,941,121,0
instagram_ig_0001_post_013,ig_0001,Coding session vibes ✨ Working on something exciting! #tech #coding,#technology #seattle,2025-05-08 09:53:42.824681,835,100,0
instagram_ig_0001_post_014,ig_0001,New gadget unboxing! 📱 Love staying updated with the latest tech #technology,#technology #seattle,2024-12-05 16:50:39.168203,864,95,0
instagram_ig_0001_post_015,ig_0001,New gadget unboxing! 📱 Love staying updated with the latest tech #technology,#technology #seattle,2024-11-26 10:51:45.264033,986,117,0
instagram_ig_0001_post_016,ig_0001,Weekend project: Building something cool with React 🔥,#technology #seattle,2024-08-27 11:21:04.755404,817,44,0
instagram_ig_0001_post_017,ig_0001,Coding session vibes ✨ Working on something exciting! #tech #coding,#technology #seattle,2025-05-17 18:29:44.872329,943,110,0
instagram_ig_0002_post_001,ig_0002,Business book recommendation: Just finished an amazing read 📚 #entrepreneur,#business #sanfrancisco,2024-11-06 23:53:36.522756,313,25,0
instagram_ig_0002_post_002,ig_0002,Business book recommendation: Just finished an amazing read 📚 #entrepreneur,#business #sanfrancisco,2025-02-28 21:08:13.891047,338,38,0
instagram_ig_0002_post_003,ig_0002,Networking event tonight! Love connecting with fellow entrepreneurs 🤝 #networking,#business #sanfrancisco,2025-02-19 08:03:37.321819,355,44,0
instagram_ig_0002_post_004,ig_0002,Business book recommendation: Just finished an amazing read 📚 #entrepreneur,#business #sanfrancisco,2024-06-21 01:25:11.219250,416,59,0
instagram_ig_0002_post_005,ig_0002,Networking event tonight! Love connecting with fellow entrepreneurs 🤝 #networking,#business #sanfrancisco,2024-11-01 05:54:19.551648,379,19,0
instagram_ig_0002_post_006,ig_0002,Grateful for the opportunities and challenges that help us grow 🙏 #business,#business #sanfrancisco,2025-05-13 21:06:30.198203,262,22,0
